index,symbol
307,DIAUSDT
308,ILVUSDT
309,LISTAUSDT
310,RVNUSDT
311,RIFUSDT
312,FARMUSDT
313,CVXUSDT
314,CETUSUSDT
315,REDUSDT
316,MLNUSDT
317,DCRUSDT
318,BARUSDT
319,YBUSDT
320,NILUSDT
321,A2ZUSDT
322,PSGUSDT
323,TUSDUSDT
324,TREEUSDT
325,LUMIAUSDT
326,IOTXUSDT
327,CKBUSDT
328,BIGTIMEUSDT
329,BIFIUSDT
330,ATAUSDT
331,HEIUSDT
332,RPLUSDT
333,CGPTUSDT
334,LAZIOUSDT
335,UMAUSDT
336,NFPUSDT
337,PHAUSDT
338,ZRXUSDT
339,ENJUSDT
340,NOMUSDT
341,SHELLUSDT
342,DGBUSDT
343,BLURUSDT
344,WANUSDT
345,RLCUSDT
346,BABYUSDT
347,SXTUSDT
348,MOVRUSDT
349,OSMOUSDT
350,ANIMEUSDT
351,EULUSDT
352,DODOUSDT
353,TUSDT
354,AMPUSDT
355,POLYXUSDT
356,WOOUSDT
357,WAXPUSDT
358,ALCXUSDT
359,ARPAUSDT
360,NTRNUSDT
361,ANKRUSDT
362,AUDIOUSDT
363,OXTUSDT
364,IDUSDT
365,ERAUSDT
366,CVCUSDT
367,KNCUSDT
368,MDTUSDT
369,GMXUSDT
370,HIVEUSDT
371,LQTYUSDT
372,WALUSDT
373,STOUSDT
374,ARDRUSDT
375,AGLDUSDT
376,VTHOUSDT
377,GUSDT
378,BANDUSDT
379,SYNUSDT
380,NKNUSDT
381,HOOKUSDT
382,STRAXUSDT
383,XECUSDT
384,ONTUSDT
385,TKOUSDT
386,RADUSDT
387,CTSIUSDT
388,AIUSDT
389,SCRTUSDT
390,PIVXUSDT
391,ICXUSDT
392,AVAUSDT
393,DUSKUSDT
394,IOSTUSDT
395,OGNUSDT
396,IQUSDT
397,SFPUSDT
398,SPELLUSDT
399,DENTUSDT
400,AWEUSDT
401,DEXEUSDT
402,ARKUSDT
403,NEWTUSDT
404,QIUSDT
405,COSUSDT
406,QKCUSDT
407,DATAUSDT
408,PONDUSDT
409,VELODROMEUSDT
410,ACXUSDT
411,CELRUSDT
412,DUSDT
413,BELUSDT
414,GASUSDT
415,JOEUSDT
416,POWRUSDT
417,STORJUSDT
418,SCUSDT
419,MTLUSDT
420,SLPUSDT
421,PUNDIXUSDT
422,GNOUSDT
423,BICOUSDT
424,GNSUSDT
425,DFUSDT
426,VICUSDT
427,BNTUSDT
428,IDEXUSDT
429,REQUSDT
430,GTCUSDT
431,SYSUSDT
432,UTKUSDT
433,FORTHUSDT
435,QUICKUSDT
436,AEURUSDT
